Player,Pos,3P,2P,TRB,AST,STL,BLK
Montrezl Harrell\harremo01,C,0,375,428,73,46,49
Gary Harris\harriga01,SG,48,90,79,78,28,11
Gary Harris\harriga01,SG,24,45,47,32,17,4
Gary Harris\harriga01,SG,24,45,32,46,11,7
Jalen Harris\harrija01,SG,17,19,18,17,8,0
Shaquille Harrison\harrish01,SG,3,23,48,25,17,5
Shaquille Harrison\harrish01,SG,0,6,9,9,2,0
Shaquille Harrison\harrish01,SG,3,17,39,16,15,5
Isaiah Hartenstein\harteis01,C,2,92,181,55,19,39
Isaiah Hartenstein\harteis01,C,0,41,85,15,11,20
Isaiah Hartenstein\harteis01,C,2,51,96,40,8,19
Udonis Haslem\hasleud01,C,0,2,1,0,0,0
Jaxson Hayes\hayesja02,C,6,169,257,35,25,38
Willy Hernangómez\hernawi01,C,1,150,334,50,22,23
Tyler Herro\herroty01,SG,107,200,268,184,35,17
Buddy Hield\hieldbu01,SG,282,121,334,257,63,30
Nate Hinton\hintona01,SG,4,11,9,8,7,2
Justin Holiday\holidju01,SG,173,85,256,119,74,41
Richaun Holmes\holmeri01,C,2,364,504,101,39,96
Al Horford\horfoal01,C,56,106,188,94,25,26
Talen Horton-Tucker\hortota01,SG,37,187,169,181,63,21
Dwight Howard\howardw01,C,5,173,580,61,30,62
Markus Howard\howarma02,SG,18,22,21,18,4,1
Kevin Huerter\huertke01,SG,140,176,231,241,82,18
Serge Ibaka\ibakase01,C,39,147,275,74,9,47
Jaren Jackson Jr.\jacksja02,C,17,36,62,12,12,18
Josh Jackson\jacksjo02,SG,77,219,254,143,53,47
Reggie Jackson\jacksre01,SG,122,141,192,205,41,7
DaQuan Jeffries\jeffrda01,SG,20,30,71,22,15,10
DaQuan Jeffries\jeffrda01,SG,9,15,29,6,7,4
DaQuan Jeffries\jeffrda01,SG,11,15,42,16,8,6
Ty Jerome\jeromty01,SG,71,57,91,120,20,6
Isaiah Joe\joeis01,SG,39,9,36,20,12,4
Tyler Johnson\johnsty01,SG,48,24,77,47,14,0
Nikola Jokić\jokicni01,C,92,640,780,599,95,48
Damian Jones\jonesda03,C,1,69,121,29,11,29
Damian Jones\jonesda03,C,0,8,18,4,1,5
Damian Jones\jonesda03,C,0,16,26,1,1,7
Damian Jones\jonesda03,C,1,45,77,24,9,17
Mason Jones\jonesma05,SG,24,28,55,42,7,1
Mason Jones\jonesma05,SG,23,24,51,39,6,1
Mason Jones\jonesma05,SG,1,4,4,3,1,0
DeAndre Jordan\jordade01,C,0,190,427,93,17,65
Frank Kaminsky\kaminfr01,C,31,90,188,79,14,17
Enes Kanter\kanteen01,C,1,338,795,84,33,48
Luke Kennard\kennalu01,SG,100,97,161,104,23,9
John Konchar\konchjo01,SG,21,48,128,47,30,9
Furkan Korkmaz\korkmfu01,SG,101,69,113,82,49,9
Luke Kornet\kornelu01,C,9,26,52,20,2,25
Jeremy Lamb\lambje01,SG,52,68,131,53,34,23
Romeo Langford\langfro01,SG,5,16,35,13,6,5
Zach LaVine\lavinza01,SG,200,369,289,282,46,27
Damion Lee\leeda03,SG,77,51,180,73,38,8
Alex Len\lenal01,C,8,163,260,49,20,64
Alex Len\lenal01,C,3,2,11,3,1,6
Alex Len\lenal01,C,5,161,249,46,19,58
Meyers Leonard\leoname01,C,3,0,7,2,0,0
Caris LeVert\leverca01,SG,84,275,214,245,66,30
Caris LeVert\leverca01,SG,22,65,52,72,13,6
Caris LeVert\leverca01,SG,62,210,162,173,53,24
Kevon Looney\looneke01,C,4,104,322,119,21,22
Brook Lopez\lopezbr01,C,95,227,347,50,40,103
Robin Lopez\lopezro01,C,5,264,272,55,15,44
Will Magnay\magnawi01,C,0,0,0,0,0,0
Thon Maker\makerth01,C,0,10,18,4,2,4
Terance Mann\mannte01,SG,38,140,242,104,29,13
Boban Marjanović\marjabo01,C,1,61,128,10,2,6
Garrison Mathews\mathega01,SG,76,21,87,26,29,7
Dakota Mathias\mathida01,SG,8,11,7,13,1,3
Wesley Matthews\matthwe02,SG,66,23,93,54,38,17
Tyrese Maxey\maxeyty01,SG,31,167,104,120,26,13
Skylar Mays\mayssk01,SG,14,30,35,30,14,2
CJ McCollum\mccolcj01,SG,169,236,185,223,44,21
JaVale McGee\mcgeeja01,C,5,139,239,39,19,54
JaVale McGee\mcgeeja01,C,5,107,170,33,16,40
JaVale McGee\mcgeeja01,C,0,32,69,6,3,14
Rodney McGruder\mcgruro01,SG,11,26,22,16,8,1
Ben McLemore\mclembe01,SG,97,38,100,39,23,9
Ben McLemore\mclembe01,SG,55,25,66,28,20,3
Ben McLemore\mclembe01,SG,42,13,34,11,3,6
Sam Merrill\merrisa01,SG,21,11,30,21,8,1
Chimezie Metu\metuch01,C,13,78,112,28,14,18
Shake Milton\miltosh01,SG,71,229,148,193,39,18
Adam Mokoka\mokokad01,SG,1,6,5,5,2,1
Malik Monk\monkma01,SG,85,88,101,87,19,4
E'Twaun Moore\mooreet01,SG,11,44,45,40,15,5
Mike Muscala\muscami01,C,68,51,132,28,8,11
Sviatoslav Mykhailiuk\mykhasv01,SG,48,76,89,53,24,6
Nerlens Noel\noelne01,C,0,137,408,46,70,141
Jaylen Nowell\nowelja01,SG,50,92,95,62,22,12
Jusuf Nurkić\nurkiju01,C,12,159,332,125,38,39
Jahlil Okafor\okafoja01,C,2,61,66,13,6,5
Josh Okogie\okogijo01,SG,29,73,156,63,54,28
Onyeka Okongwu\okongon01,C,0,96,163,18,23,33
Isaac Okoro\okorois01,SG,62,173,206,128,62,24
Victor Oladipo\oladivi01,SG,78,157,160,151,46,14
Victor Oladipo\oladivi01,SG,25,39,51,38,15,2
Victor Oladipo\oladivi01,SG,49,106,95,99,24,10
Victor Oladipo\oladivi01,SG,4,12,14,14,7,2
Kelly Olynyk\olynyke01,C,77,85,261,91,40,26
Miye Oni\onimi01,SG,30,5,84,28,11,8
Daniel Oturu\oturuda01,C,1,21,48,10,4,7
Anžejs Pasečņiks\pasecan01,C,0,0,1,1,0,0
Justin Patton\pattoju01,C,9,20,49,14,12,14
Norvel Pelle\pelleno01,C,0,8,19,2,1,9
Norvel Pelle\pelleno01,C,0,3,7,0,0,3
Norvel Pelle\pelleno01,C,0,0,1,1,0,0
Norvel Pelle\pelleno01,C,0,5,11,1,1,6
Theo Pinson\pinsoth01,SG,0,1,5,1,0,0
Mason Plumlee\plumlma01,C,0,234,519,202,43,50
Jakob Poeltl\poeltja01,C,0,265,547,134,47,123
Vincent Poirier\poirivi01,C,0,3,14,2,0,3
